# index, node_type, node_subtype, name, _pos
0,PHARYNX,,I1L,"array([4.01496312, 1.08856886])"
1,PHARYNX,,I1R,"array([3.98914869, 1.10633782])"
2,PHARYNX,,I2L,"array([4.00294759, 1.04699199])"
3,PHARYNX,,I2R,"array([3.97361521, 1.09098883])"
4,PHARYNX,,I3,"array([3.99945606, 1.07068489])"
5,PHARYNX,,I4,"array([3.93060206, 1.04338654])"
6,PHARYNX,,I5,"array([3.94228296, 1.02283597])"
7,PHARYNX,,I6,"array([3.97889364, 1.05422717])"
8,PHARYNX,,M1,"array([3.99702597, 1.0099549 ])"
9,PHARYNX,,M2L,"array([3.97594601, 1.01734337])"
10,PHARYNX,,M2R,"array([3.90418814, 1.06733952])"
11,PHARYNX,,M3L,"array([3.98356558, 1.03451491])"
12,PHARYNX,,M3R,"array([3.92932159, 1.07345421])"
13,PHARYNX,,M4,"array([3.95580967, 1.00926633])"
14,PHARYNX,,M5,"array([3.89823134, 0.93160618])"
15,PHARYNX,,MCL,"array([4.0320638 , 1.13676754])"
16,PHARYNX,,MCR,"array([4.06968759, 1.17162048])"
17,PHARYNX,,MI,"array([3.9705673 , 1.07234698])"
18,PHARYNX,,NSML,"array([3.95895813, 1.04112348])"
19,PHARYNX,,NSMR,"array([3.94642472, 1.06247009])"
20,PHARYNX,,pm1,"array([4.05541879, 1.09199226])"
21,PHARYNX,,pm2D,"array([4.07406528, 0.92990468])"
22,PHARYNX,,pm2VL,"array([3.98621635, 0.89316382])"
23,PHARYNX,,pm3D,"array([3.91331881, 1.17486201])"
24,PHARYNX,,pm3VL,"array([4.10905949, 1.16838873])"
25,PHARYNX,,pm3VR,"array([4.098763  , 1.26259921])"
26,PHARYNX,,pm4D,"array([3.94826043, 1.09559717])"
27,PHARYNX,,pm4VL,"array([4.03777456, 1.04655751])"
28,PHARYNX,,pm4VR,"array([3.90620522, 1.10501995])"
29,PHARYNX,,pm5D,"array([4.01965927, 1.02403043])"
30,PHARYNX,,pm5VL,"array([3.93734977, 0.99075716])"
31,PHARYNX,,pm5VR,"array([3.91268662, 1.02331399])"
32,PHARYNX,,pm6D,"array([3.92220627, 0.83638087])"
33,PHARYNX,,pm6VL,"array([3.84347105, 0.97047859])"
34,PHARYNX,,pm6VR,"array([3.83191487, 0.8331214 ])"
35,PHARYNX,,pm7D,"array([3.88081243, 0.81886576])"
36,PHARYNX,,pm7VR,"array([3.80820908, 0.87207049])"
37,PHARYNX,,mc2DL,"array([4.174463  , 1.25901751])"
38,PHARYNX,,mc2DR,"array([4.13860885, 1.29493091])"
39,PHARYNX,,mc2V,"array([4.10261348, 1.11439196])"
40,PHARYNX,,mc3V,"array([3.86432513, 0.86388874])"
41,PHARYNX,,e3D,"array([4.03595102, 0.89654125])"
42,PHARYNX,,e3VL,"array([4.00791369, 0.94246261])"
43,PHARYNX,,e3VR,"array([3.85636893, 1.12826011])"
44,PHARYNX,,g1p,"array([4.02590321, 0.97303694])"
45,PHARYNX,,g1AL,"array([3.94137422, 0.94457586])"
46,PHARYNX,,g1AR,"array([3.879703 , 1.0002041])"
47,PHARYNX,,g2L,"array([3.86616577, 0.9325554 ])"
48,PHARYNX,,g2R,"array([3.79415066, 0.91353878])"
49,PHARYNX,,bm,"array([3.87489848, 1.0522139 ])"
50,SENSOSRY NEURONS,,ASIL,"array([4.1891767 , 1.56683821])"
51,SENSOSRY NEURONS,,ASIR,"array([4.1441679, 1.7060417])"
52,SENSOSRY NEURONS,,ASJL,"array([4.26338829, 1.52123061])"
53,SENSOSRY NEURONS,,ASJR,"array([4.27898711, 1.73394655])"
54,SENSOSRY NEURONS,,AWAL,"array([4.25550466, 1.55077924])"
55,SENSOSRY NEURONS,,AWAR,"array([4.2057344 , 1.63050586])"
56,SENSOSRY NEURONS,,ASGL,"array([4.23750507, 1.59132835])"
57,SENSOSRY NEURONS,,ASGR,"array([4.21305738, 1.68695201])"
58,SENSOSRY NEURONS,,AWBL,"array([4.29291814, 1.58709551])"
59,SENSOSRY NEURONS,,AWBR,"array([4.26112214, 1.65758973])"
60,SENSOSRY NEURONS,,ASEL,"array([4.22442913, 1.56410381])"
61,SENSOSRY NEURONS,,ASER,"array([4.2316959 , 1.66961174])"
62,SENSOSRY NEURONS,,ADFL,"array([4.31363668, 1.58190322])"
63,SENSOSRY NEURONS,,ADFR,"array([4.28879141, 1.61831856])"
64,SENSOSRY NEURONS,,AFDL,"array([4.19011721, 1.50953837])"
65,SENSOSRY NEURONS,,AFDR,"array([4.18675999, 1.65417085])"
66,SENSOSRY NEURONS,,AWCL,"array([4.20588949, 1.59491185])"
67,SENSOSRY NEURONS,,AWCR,"array([4.22508768, 1.64921646])"
68,SENSOSRY NEURONS,,ASKL,"array([4.23586173, 1.62165155])"
69,SENSOSRY NEURONS,,ASKR,"array([4.22589499, 1.75579765])"
70,SENSOSRY NEURONS,,ASHL,"array([4.32863686, 1.67729087])"
71,SENSOSRY NEURONS,,ASHR,"array([4.30121965, 1.74963988])"
72,SENSOSRY NEURONS,,ADLL,"array([4.33813072, 1.69336425])"
73,SENSOSRY NEURONS,,ADLR,"array([4.30865675, 1.70101466])"
74,SENSOSRY NEURONS,,BAGL,"array([4.29267152, 1.64081587])"
75,SENSOSRY NEURONS,,BAGR,"array([3.43896101, 2.36130909])"
76,SENSOSRY NEURONS,,URXL,"array([4.31600107, 1.4402645 ])"
77,SENSOSRY NEURONS,,URXR,"array([4.33124979, 1.64163383])"
78,SENSOSRY NEURONS,,ALNL,"array([4.45667533, 1.66241162])"
79,SENSOSRY NEURONS,,ALNR,"array([4.49794178, 1.49496822])"
80,SENSOSRY NEURONS,,PLNL,"array([4.47129375, 1.61537575])"
81,SENSOSRY NEURONS,,PLNR,"array([4.42803159, 1.7111174 ])"
82,SENSOSRY NEURONS,,SDQL,"array([4.51864444, 1.51466187])"
83,SENSOSRY NEURONS,,SDQR,"array([4.47434765, 1.65427908])"
84,SENSOSRY NEURONS,,AQR,"array([4.41766924, 1.69036951])"
85,SENSOSRY NEURONS,,PQR,"array([4.46085993, 1.82393455])"
86,SENSOSRY NEURONS,,ALML,"array([4.35297807, 1.67635775])"
87,SENSOSRY NEURONS,,ALMR,"array([4.38494625, 1.66407278])"
88,SENSOSRY NEURONS,,AVM,"array([4.39619187, 1.71038409])"
89,SENSOSRY NEURONS,,PVM,"array([4.45724529, 1.7556958 ])"
90,SENSOSRY NEURONS,,PLML,"array([4.53623992, 1.76789546])"
91,SENSOSRY NEURONS,,PLMR,"array([4.45507839, 1.78103967])"
92,SENSOSRY NEURONS,,FLPL,"array([4.45800313, 1.68316396])"
93,SENSOSRY NEURONS,,FLPR,"array([4.42982955, 1.67176894])"
94,SENSOSRY NEURONS,,DVA,"array([4.44022576, 1.69140156])"
95,SENSOSRY NEURONS,,PVDL,"array([4.48519508, 1.79120284])"
96,SENSOSRY NEURONS,,PVDR,"array([4.51230272, 1.76468261])"
97,SENSOSRY NEURONS,,ADEL,"array([4.40631878, 1.65894291])"
98,SENSOSRY NEURONS,,ADER,"array([4.44086835, 1.62880578])"
99,SENSOSRY NEURONS,,PDEL,"array([4.47535284, 1.77388861])"
100,SENSOSRY NEURONS,,PDER,"array([4.50328583, 1.78102583])"
101,SENSOSRY NEURONS,,PHAL,"array([4.37195037, 1.82663015])"
102,SENSOSRY NEURONS,,PHAR,"array([4.41167709, 1.82467166])"
103,SENSOSRY NEURONS,,PHBL,"array([4.3201493 , 1.85843755])"
104,SENSOSRY NEURONS,,PHBR,"array([4.33982492, 1.83388444])"
105,SENSOSRY NEURONS,,PHCL,"array([4.38821509, 1.89235545])"
106,SENSOSRY NEURONS,,PHCR,"array([4.38379448, 1.87844306])"
107,SENSOSRY NEURONS,,IL2DL,"array([4.2918963 , 1.44660657])"
108,SENSOSRY NEURONS,,IL2DR,"array([4.2857733 , 1.47360778])"
109,SENSOSRY NEURONS,,IL2L,"array([4.34826886, 1.47354686])"
110,SENSOSRY NEURONS,,IL2R,"array([4.31507242, 1.5415777 ])"
111,SENSOSRY NEURONS,,IL2VL,"array([4.31192933, 1.49753896])"
112,SENSOSRY NEURONS,,IL2VR,"array([4.30605416, 1.47956115])"
113,SENSOSRY NEURONS,,CEPDL,"array([4.38796712, 1.5541857 ])"
114,SENSOSRY NEURONS,,CEPDR,"array([4.3568498 , 1.54838639])"
115,SENSOSRY NEURONS,,CEPVL,"array([4.37076302, 1.54184506])"
116,SENSOSRY NEURONS,,CEPVR,"array([4.36189963, 1.58799136])"
117,SENSOSRY NEURONS,,URYDL,"array([4.43756539, 1.2621475 ])"
118,SENSOSRY NEURONS,,URYDR,"array([4.20470302, 1.53815186])"
119,SENSOSRY NEURONS,,URYVL,"array([4.19601215, 1.71550294])"
120,SENSOSRY NEURONS,,URYVR,"array([4.17244338, 1.59728918])"
121,SENSOSRY NEURONS,,OLLL,"array([4.44477536, 1.48138931])"
122,SENSOSRY NEURONS,,OLLR,"array([4.34196999, 1.53889071])"
123,SENSOSRY NEURONS,,OLQDL,"array([4.38210271, 1.48164286])"
124,SENSOSRY NEURONS,,OLQDR,"array([4.34699745, 1.51834925])"
125,SENSOSRY NEURONS,,OLQVL,"array([4.36646676, 1.52164252])"
126,SENSOSRY NEURONS,,OLQVR,"array([4.35140779, 1.57086596])"
127,SENSOSRY NEURONS,,IL1DL,"array([4.38695603, 1.42837855])"
128,SENSOSRY NEURONS,,IL1DR,"array([4.32788311, 1.4177905 ])"
129,SENSOSRY NEURONS,,IL1L,"array([4.41395893, 1.43797227])"
130,SENSOSRY NEURONS,,IL1R,"array([4.32869694, 1.51943152])"
131,SENSOSRY NEURONS,,IL1VL,"array([4.36760664, 1.47468045])"
132,SENSOSRY NEURONS,,IL1VR,"array([4.33363382, 1.49249134])"
133,INTERNEURONS,,AINL,"array([4.24753095, 1.68641621])"
134,INTERNEURONS,,AINR,"array([4.29728076, 1.56532584])"
135,INTERNEURONS,,AIML,"array([4.25253884, 1.63241047])"
136,INTERNEURONS,,AIMR,"array([4.23061264, 1.71140447])"
137,INTERNEURONS,,RIH,"array([4.33542675, 1.56051216])"
138,INTERNEURONS,,URBL,"array([4.38982866, 1.4033053 ])"
139,INTERNEURONS,,URBR,"array([4.24625439, 1.48447797])"
140,INTERNEURONS,,RIR,"array([4.33088761, 1.6590492 ])"
141,INTERNEURONS,,AIYL,"array([4.2755937, 1.574086 ])"
142,INTERNEURONS,,AIYR,"array([4.27096093, 1.62802586])"
143,INTERNEURONS,,AIAL,"array([4.25997705, 1.60741287])"
144,INTERNEURONS,,AIAR,"array([4.2560054 , 1.71402855])"
145,INTERNEURONS,,AUAL,"array([4.32692519, 1.60467131])"
146,INTERNEURONS,,AUAR,"array([4.28687608, 1.65986789])"
147,INTERNEURONS,,AIZL,"array([4.34904523, 1.60028786])"
148,INTERNEURONS,,AIZR,"array([4.34188595, 1.62007824])"
149,INTERNEURONS,,RIS,"array([4.39991372, 1.61506357])"
150,INTERNEURONS,,ALA,"array([4.62662751, 1.76079969])"
151,INTERNEURONS,,PVQL,"array([4.31261847, 1.7240863 ])"
152,INTERNEURONS,,PVQR,"array([4.35154823, 1.80763281])"
153,INTERNEURONS,,ADAL,"array([4.35957891, 1.63749556])"
154,INTERNEURONS,,ADAR,"array([5.45335298, 1.12216253])"
155,INTERNEURONS,,RIFL,"array([4.39558971, 1.67529709])"
156,INTERNEURONS,,RIFR,"array([4.35254735, 1.75317073])"
157,INTERNEURONS,,BDUL,"array([4.303128  , 1.60743846])"
158,INTERNEURONS,,BDUR,"array([4.28494914, 1.69158324])"
159,INTERNEURONS,,PVR,"array([4.44790465, 1.71753196])"
160,INTERNEURONS,,AVFL,"array([4.40959312, 1.79856319])"
161,INTERNEURONS,,AVFR,"array([4.42088222, 1.80882732])"
162,INTERNEURONS,,AVHL,"array([4.38120234, 1.72241672])"
163,INTERNEURONS,,AVHR,"array([4.33111445, 1.76189792])"
164,INTERNEURONS,,PVPL,"array([4.4090178 , 1.77802638])"
165,INTERNEURONS,,PVPR,"array([4.37057269, 1.73644244])"
166,INTERNEURONS,,LUAL,"array([4.45266838, 1.81146675])"
167,INTERNEURONS,,LUAR,"array([4.46897449, 1.80219881])"
168,INTERNEURONS,,PVNL,"array([4.41946439, 1.8470806 ])"
169,INTERNEURONS,,PVNR,"array([4.40763231, 1.83936002])"
170,INTERNEURONS,,AVG,"array([4.39624583, 1.846039  ])"
171,INTERNEURONS,,DVB,"array([4.31633681, 1.83880728])"
172,INTERNEURONS,,RIBL,"array([4.3696186 , 1.57509517])"
173,INTERNEURONS,,RIBR,"array([4.35886569, 1.61630668])"
174,INTERNEURONS,,RIGL,"array([4.38626757, 1.63203795])"
175,INTERNEURONS,,RIGR,"array([4.37034242, 1.65334001])"
176,INTERNEURONS,,RMGL,"array([4.42580766, 1.58008035])"
177,INTERNEURONS,,RMGR,"array([4.37550379, 1.59728453])"
178,INTERNEURONS,,AIBL,"array([4.34492113, 1.63630593])"
179,INTERNEURONS,,AIBR,"array([4.35071448, 1.65682113])"
180,INTERNEURONS,,RICL,"array([4.37763471, 1.61383144])"
181,INTERNEURONS,,RICR,"array([4.40881883, 1.57705776])"
182,INTERNEURONS,,SAADL,"array([4.41800457, 1.61648757])"
183,INTERNEURONS,,SAADR,"array([4.43283785, 1.6145462 ])"
184,INTERNEURONS,,SAAVL,"array([4.4540626 , 1.60705836])"
185,INTERNEURONS,,SAAVR,"array([4.4584391 , 1.62896017])"
186,INTERNEURONS,,AVKL,"array([4.46183158, 1.72662447])"
187,INTERNEURONS,,AVKR,"array([4.41155378, 1.72265353])"
188,INTERNEURONS,,DVC,"array([4.41631915, 1.75585819])"
189,INTERNEURONS,,AVJL,"array([4.39986087, 1.74247606])"
190,INTERNEURONS,,AVJR,"array([4.33632592, 1.78535381])"
191,INTERNEURONS,,PVT,"array([4.35509384, 1.70719043])"
192,INTERNEURONS,,AVDL,"array([4.4731103 , 1.70837574])"
193,INTERNEURONS,,AVDR,"array([4.48164798, 1.72191169])"
194,INTERNEURONS,,AVL,"array([4.3864253 , 1.75697381])"
195,INTERNEURONS,,PVWL,"array([4.54288426, 1.89858405])"
196,INTERNEURONS,,PVWR,"array([4.52975611, 1.93491166])"
197,INTERNEURONS,,RIAL,"array([4.39383777, 1.56995658])"
198,INTERNEURONS,,RIAR,"array([4.39564431, 1.59086984])"
199,INTERNEURONS,,RIML,"array([4.40347653, 1.63659875])"
200,INTERNEURONS,,RIMR,"array([4.41815692, 1.63537435])"
201,INTERNEURONS,,AVEL,"array([4.44398614, 1.64392076])"
202,INTERNEURONS,,AVER,"array([4.48790422, 1.64579504])"
203,INTERNEURONS,,RMFL,"array([4.41394112, 1.59558   ])"
204,INTERNEURONS,,RMFR,"array([4.33318829, 1.58553355])"
205,INTERNEURONS,,RID,"array([4.33811818, 1.71829107])"
206,INTERNEURONS,,AVBL,"array([4.42874651, 1.7352844 ])"
207,INTERNEURONS,,AVBR,"array([4.44142785, 1.75434249])"
208,INTERNEURONS,,AVAL,"array([4.49574797, 1.74498042])"
209,INTERNEURONS,,AVAR,"array([4.4949037 , 1.72893288])"
210,INTERNEURONS,,PVCL,"array([4.48362156, 1.75650922])"
211,INTERNEURONS,,PVCR,"array([4.47401011, 1.74671628])"
212,INTERNEURONS,,RIPL,"array([4.27349556, 1.39397919])"
213,INTERNEURONS,,RIPR,"array([4.28444751, 1.50182419])"
214,MOTOR NEURONS,HEAD MOTOR NEURONS,URADL,"array([4.36550553, 1.38721885])"
215,MOTOR NEURONS,HEAD MOTOR NEURONS,URADR,"array([4.35048003, 1.42971997])"
216,MOTOR NEURONS,HEAD MOTOR NEURONS,URAVL,"array([4.35946289, 1.41045805])"
217,MOTOR NEURONS,HEAD MOTOR NEURONS,URAVR,"array([4.36849802, 1.44540226])"
218,MOTOR NEURONS,HEAD MOTOR NEURONS,RMEL,"array([4.32336511, 1.46379985])"
219,MOTOR NEURONS,HEAD MOTOR NEURONS,RMER,"array([4.34226049, 1.44911736])"
220,MOTOR NEURONS,HEAD MOTOR NEURONS,RMED,"array([4.42495487, 1.48513534])"
221,MOTOR NEURONS,HEAD MOTOR NEURONS,RMEV,"array([4.38934944, 1.51892443])"
222,MOTOR NEURONS,HEAD MOTOR NEURONS,RMDDL,"array([4.40392067, 1.4792736 ])"
223,MOTOR NEURONS,HEAD MOTOR NEURONS,RMDDR,"array([4.40615596, 1.51279438])"
224,MOTOR NEURONS,HEAD MOTOR NEURONS,RMDL,"array([4.3942225 , 1.49851441])"
225,MOTOR NEURONS,HEAD MOTOR NEURONS,RMDR,"array([4.39564232, 1.54018982])"
226,MOTOR NEURONS,HEAD MOTOR NEURONS,RMDVL,"array([4.41017197, 1.49675522])"
227,MOTOR NEURONS,HEAD MOTOR NEURONS,RMDVR,"array([4.42184268, 1.51116468])"
228,MOTOR NEURONS,HEAD MOTOR NEURONS,RIVL,"array([4.45621703, 1.5339078 ])"
229,MOTOR NEURONS,HEAD MOTOR NEURONS,RIVR,"array([4.43962831, 1.55214089])"
230,MOTOR NEURONS,HEAD MOTOR NEURONS,RMHL,"array([4.38430767, 1.58006313])"
231,MOTOR NEURONS,HEAD MOTOR NEURONS,RMHR,"array([4.35316749, 1.49611585])"
232,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SABD,"array([4.43336233, 1.60083394])"
233,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SABVL,"array([4.42844   , 1.65126452])"
234,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SABVR,"array([4.48441063, 1.62709026])"
235,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SMDDL,"array([4.47534438, 1.58175783])"
236,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SMDDR,"array([4.45814165, 1.57545631])"
237,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SMDVL,"array([4.47433479, 1.55103226])"
238,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SMDVR,"array([4.4960739 , 1.55583134])"
239,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SMBDL,"array([4.48053659, 1.56817861])"
240,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SMBDR,"array([4.45736503, 1.55686212])"
241,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SMBVL,"array([4.45339545, 1.59051784])"
242,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SMBVR,"array([4.46743674, 1.5945091 ])"
243,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SIBDL,"array([4.51907955, 1.59678744])"
244,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SIBDR,"array([4.48404801, 1.60083607])"
245,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SIBVL,"array([4.53312514, 1.55177765])"
246,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SIBVR,"array([4.49734555, 1.59055164])"
247,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SIADL,"array([4.53457024, 1.59278886])"
248,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SIADR,"array([4.49815084, 1.57568921])"
249,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SIAVL,"array([4.5053749, 1.607861 ])"
250,MOTOR NEURONS,SUBLATERAL MOTOR NEURONS,SIAVR,"array([4.51967077, 1.56994859])"
251,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DA01,"array([4.52425636, 1.61747792])"
252,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DA02,"array([4.55256856, 1.60566509])"
253,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DA03,"array([4.55935852, 1.65306473])"
254,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DA04,"array([4.57326175, 1.7044543 ])"
255,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DA05,"array([4.59156826, 1.70234719])"
256,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DA06,"array([4.55573147, 1.7128859 ])"
257,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DA07,"array([4.57227109, 1.75372354])"
258,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DA08,"array([4.53650304, 1.81712999])"
259,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DA09,"array([4.51786227, 1.86873788])"
260,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,PDA,"array([4.50548662, 1.921945  ])"
261,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DB01,"array([4.58812606, 1.57338412])"
262,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DB02,"array([4.58853572, 1.63959671])"
263,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DB03,"array([4.56429306, 1.68838383])"
264,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DB04,"array([4.53916874, 1.72292744])"
265,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DB05,"array([4.60090582, 1.74780549])"
266,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DB06,"array([4.55593394, 1.78155281])"
267,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DB07,"array([4.51817205, 1.88484098])"
268,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS01,"array([4.54247073, 1.6191471 ])"
269,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS02,"array([4.58026748, 1.62016603])"
270,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS03,"array([4.62768105, 1.64914113])"
271,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS04,"array([4.54966011, 1.69402743])"
272,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS05,"array([4.59280274, 1.72333023])"
273,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS06,"array([4.61833095, 1.71419264])"
274,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS07,"array([4.5489023 , 1.74308957])"
275,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS08,"array([4.61106497, 1.79705968])"
276,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS09,"array([4.57355971, 1.79210627])"
277,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS10,"array([4.56505813, 1.83167155])"
278,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,AS11,"array([4.47999169, 1.86408733])"
279,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,PDB,"array([4.41000978, 1.89074222])"
280,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DD01,"array([4.5979582 , 1.55049539])"
281,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DD02,"array([4.64398521, 1.6262784 ])"
282,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DD03,"array([4.56809917, 1.73034721])"
283,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DD04,"array([4.52842857, 1.78509638])"
284,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DD05,"array([4.5189485 , 1.83490713])"
285,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DD06,"array([4.47179773, 1.89813914])"
286,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA01,"array([4.55477147, 1.56026686])"
287,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA02,"array([4.55023461, 1.58056515])"
288,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA03,"array([4.57100594, 1.60249653])"
289,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA04,"array([4.61008637, 1.64290299])"
290,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA05,"array([4.62443037, 1.66760155])"
291,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA06,"array([4.64442189, 1.66640061])"
292,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA07,"array([4.63229161, 1.69815709])"
293,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA08,"array([4.62300524, 1.73831666])"
294,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA09,"array([4.57641937, 1.81006563])"
295,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA10,"array([4.52544887, 1.80374564])"
296,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA11,"array([4.53334888, 1.87754777])"
297,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA12,"array([4.50378714, 1.85026275])"
298,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB01,"array([4.58446328, 1.53832885])"
299,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB02,"array([4.63637809, 1.52010749])"
300,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB03,"array([4.67547253, 1.57701848])"
301,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB04,"array([4.68728269, 1.63390397])"
302,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB05,"array([4.61849987, 1.68671459])"
303,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB06,"array([4.5852325 , 1.76491819])"
